relative_path,git_status,extension,staged_size_bytes,category,security_status,large_file_status,submission_zip_status,note
frontend/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,A,.xml,265,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-hdpi/ic_launcher.png,A,.png,2159,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-hdpi/ic_launcher_foreground.png,A,.png,7451,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-hdpi/ic_launcher_round.png,A,.png,2382,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-mdpi/ic_launcher.png,A,.png,1347,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-mdpi/ic_launcher_foreground.png,A,.png,4422,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-mdpi/ic_launcher_round.png,A,.png,1484,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-xhdpi/ic_launcher.png,A,.png,3033,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-xhdpi/ic_launcher_foreground.png,A,.png,10522,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-xhdpi/ic_launcher_round.png,A,.png,3301,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png,A,.png,5017,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-xxhdpi/ic_launcher_foreground.png,A,.png,17517,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png,A,.png,5376,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,A,.png,7166,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_foreground.png,A,.png,24518,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png,A,.png,7585,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/values/ic_launcher_background.xml,A,.xml,121,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/values/strings.xml,A,.xml,294,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/values/styles.xml,A,.xml,823,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/res/xml/file_paths.xml,A,.xml,213,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/test/java/com/getcapacitor/myapp/ExampleUnitTest.java,A,.java,402,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/build.gradle,A,.gradle,633,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/capacitor.settings.gradle,A,.gradle,451,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/gradle.properties,A,.properties,987,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/gradle/wrapper/gradle-wrapper.jar,A,.jar,43764,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/gradle/wrapper/gradle-wrapper.properties,A,.properties,253,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/gradlew,A,,8733,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/gradlew.bat,A,.bat,2843,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/keystore.properties.example,A,.example,228,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/settings.gradle,A,.gradle,208,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/variables.gradle,A,.gradle,498,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/assets/baro-launcher-background.png,A,.png,6493,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/assets/baro-launcher-foreground.png,A,.png,82202,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/assets/baro-launcher-preview.png,A,.png,76310,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/assets/baro-splash-full-logo.png,A,.png,880252,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/assets/baro-splash-symbol.png,A,.png,93021,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/assets/icon.png,A,.png,1243890,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/capacitor.config.json,A,.json,82,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/eslint.config.js,A,.js,758,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/index.html,A,.html,584,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/package-lock.json,A,.json,127969,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/package.json,A,.json,838,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/public/favicon.svg,A,.svg,9522,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/public/icons.svg,A,.svg,5031,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/App.css,A,.css,2891,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/App.jsx,A,.jsx,4006,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/App.module.css,A,.css,262,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/api/.gitkeep,A,,0,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/api/client.js,A,.js,4008,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/7C-jejuair-logo.png,A,.png,1240,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/BX-airbusan-logo.png,A,.png,55888,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/ET-ethiopian-primary-logo.png,A,.png,19806,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/KE-koreanair-logo-2025.png,A,.png,21287,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/LJ-jinair-h1_logo.gif,A,.gif,5248,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/MM-peach-logo.svg,A,.svg,1671,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/OZ-asiana-logo-eng.png,A,.png,4124,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/OZ-asiana-logo-kor.png,A,.png,3636,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/RS-airseoul-logo.jpg,A,.jpg,11905,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/TW-tway-logo-eng.svg,A,.svg,4204,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/YP-airpremia-logo-preview-en-20240816.png,A,.png,15835,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/YP-airpremia-logo-preview-ko-20240808.png,A,.png,15835,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/YP-airpremia-logo-preview.png,A,.png,15835,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/YP-airpremia-logo.bin,A,.bin,15835,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/src/assets/airlines/ZG-zipair-logo.svg,A,.svg,2917,frontend,allowlisted_public,ok,include,staged blob snapshot
